request_id,date_submitted,neighborhood,category,service_type,priority,status,response_days,source,department,satisfaction_score,month,quarter,resolution_rate
RVA-10000,2024-04-12,Museum District,Road & Sidewalk,Crosswalk Faded,Medium,Closed,11.0,Email,Code Enforcement,1.5,2024-04,2024Q2,1
RVA-10001,2025-03-11,Short Pump,Public Safety,Traffic Signal Issue,Low,Resolved,4.25,Mobile App,Police,1.9,2025-03,2025Q1,1
RVA-10002,2024-09-27,Northside,Sanitation,Illegal Dumping,Medium,Resolved,2.3,Walk-in,Code Enforcement,3.3,2024-09,2024Q3,1
RVA-10003,2024-04-16,Scott's Addition,Road & Sidewalk,Sidewalk Damage,High,Closed,4.39,Mobile App,Parks & Rec,4.4,2024-04,2024Q2,1
RVA-10004,2024-03-12,Museum District,Public Safety,Hazardous Condition,Medium,In Progress,3.12,Mobile App,Police,4.6,2024-03,2024Q1,0
RVA-10005,2025-12-01,Museum District,Sanitation,Missed Trash Pickup,Medium,Resolved,3.63,Mobile App,Code Enforcement,4.3,2025-12,2025Q4,1
RVA-10006,2024-01-21,West End,Noise & Nuisance,Noise Complaint,Medium,In Progress,2.02,Phone,Code Enforcement,1.2,2024-01,2024Q1,0
RVA-10007,2025-09-06,Highland Park,Parks & Public Spaces,Park Maintenance,High,Closed,0.65,Walk-in,Public Utilities,4.3,2025-09,2025Q3,1
RVA-10008,2024-05-01,West End,Public Safety,Missing Sign,Low,Closed,10.67,Phone,Police,4.6,2024-05,2024Q2,1
RVA-10009,2025-04-11,Manchester,Noise & Nuisance,Noise Complaint,Medium,Closed,0.64,Mobile App,Public Utilities,1.2,2025-04,2025Q2,1
RVA-10010,2024-08-02,Bon Air,Road & Sidewalk,Street Light Out,Low,Resolved,21.14,Mobile App,Police,2.7,2024-08,2024Q3,1
RVA-10011,2024-11-26,Ginter Park,Noise & Nuisance,Property Maintenance,High,In Progress,3.02,Phone,Public Works,3.1,2024-11,2024Q4,0
RVA-10012,2025-04-03,Scott's Addition,Water & Utilities,Water Main Break,Low,Closed,2.12,Phone,Police,1.9,2025-04,2025Q2,1
RVA-10013,2024-03-28,Shockoe Bottom,Public Safety,Missing Sign,High,Resolved,2.37,Phone,Police,3.1,2024-03,2024Q1,1
RVA-10014,2025-01-07,Manchester,Sanitation,Overflowing Bin,Medium,Resolved,4.61,Mobile App,Code Enforcement,4.5,2025-01,2025Q1,1
RVA-10015,2024-04-09,Museum District,Parks & Public Spaces,Graffiti Removal,Low,Resolved,2.04,Website,Parks & Rec,4.5,2024-04,2024Q2,1
RVA-10016,2025-10-25,Ginter Park,Sanitation,Illegal Dumping,Emergency,In Progress,0.16,Email,Transportation,4.8,2025-10,2025Q4,0
RVA-10017,2024-05-10,Highland Park,Noise & Nuisance,Animal Control,Low,In Progress,5.26,Phone,Police,2.9,2024-05,2024Q2,0
RVA-10018,2025-10-23,Ginter Park,Water & Utilities,Storm Drain Blocked,Medium,Resolved,6.01,Website,Public Utilities,2.6,2025-10,2025Q4,1
RVA-10019,2024-11-04,Scott's Addition,Public Safety,Hazardous Condition,Low,Resolved,10.18,Email,Parks & Rec,3.7,2024-11,2024Q4,1
RVA-10020,2024-12-09,Northside,Parks & Public Spaces,Park Maintenance,Medium,Resolved,3.8,Website,Police,2.7,2024-12,2024Q4,1
RVA-10021,2025-05-06,Scott's Addition,Water & Utilities,Storm Drain Blocked,Medium,Closed,7.31,Website,Parks & Rec,1.2,2025-05,2025Q2,1
RVA-10022,2025-02-17,Carytown,Water & Utilities,Water Main Break,Medium,Resolved,7.09,Website,Public Works,3.9,2025-02,2025Q1,1
RVA-10023,2025-01-20,West End,Water & Utilities,Sewer Problem,Low,Resolved,9.62,Mobile App,Parks & Rec,2.1,2025-01,2025Q1,1
RVA-10024,2024-07-10,Church Hill,Sanitation,Overflowing Bin,Medium,Closed,7.73,Phone,Public Works,1.2,2024-07,2024Q3,1
RVA-10025,2024-10-03,East End,Water & Utilities,Sewer Problem,High,Closed,0.81,Walk-in,Parks & Rec,1.1,2024-10,2024Q4,1
RVA-10026,2024-06-09,East End,Noise & Nuisance,Noise Complaint,High,In Progress,4.26,Mobile App,Parks & Rec,4.7,2024-06,2024Q2,0
RVA-10027,2025-04-04,Highland Park,Noise & Nuisance,Animal Control,Medium,Closed,4.77,Walk-in,Public Utilities,2.0,2025-04,2025Q2,1
